151,"Wrestling Men's Lightweight, Greco-Roman"
152,"Fencing Men's Sabre, Individual"
153,"Wrestling Men's Super-Heavyweight, Greco-Roman"
154,"Shooting Men's Free Pistol, 50 metres"
155,"Shooting Men's Air Pistol, 10 metres"
156,Rowing Men's Coxless Fours
157,Boxing Men's Light-Flyweight
158,Boxing Men's Super-Heavyweight
159,"Wrestling Men's Flyweight, Greco-Roman"
160,"Shooting Women's Air Rifle, 10 metres"
161,Weightlifting Men's Middle-Heavyweight
162,Athletics Men's Javelin Throw
163,Volleyball Women's Volleyball
164,"Wrestling Men's Welterweight, Greco-Roman"
165,"Wrestling Men's Middleweight, Greco-Roman"
166,"Athletics Men's 3,000 metres Steeplechase"
167,"Wrestling Men's Middleweight, Freestyle"
168,Swimming Women's 100 metres Backstroke
169,Swimming Women's 200 metres Backstroke
170,Swimming Women's 4 x 100 metres Medley Relay
171,"Wrestling Men's Light-Heavyweight, Freestyle"
172,Modern Pentathlon Men's Team
173,Boxing Men's Bantamweight
174,Athletics Women's 200 metres
175,Table Tennis Women's Singles
176,Table Tennis Women's Doubles
177,Shooting Men's Skeet
178,Swimming Women's 50 metres Freestyle
179,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
180,Athletics Men's Triple Jump
181,Weightlifting Women's Lightweight
182,Athletics Women's Long Jump
183,"Fencing Women's epee, Individual"
184,Swimming Men's 200 metres Freestyle
185,Swimming Men's 4 x 100 metres Freestyle Relay
186,Swimming Men's 200 metres Backstroke
187,Swimming Men's 200 metres Individual Medley
188,Swimming Men's 400 metres Individual Medley
189,Badminton Women's Singles
190,Boxing Men's Light-Middleweight
191,Tennis Men's Singles
192,"Wrestling Men's Bantamweight, Freestyle"
193,"Wrestling Men's Flyweight, Freestyle"
194,"Athletics Women's 5,000 metres"
195,Weightlifting Women's Light-Heavyweight
196,Weightlifting Women's Heavyweight
197,Athletics Men's Discus Throw
198,Taekwondo Men's Featherweight
199,Taekwondo Men's Welterweight
200,Judo Men's Heavyweight
201,Cycling Men's Sprint
